"Sample Number", "Language", "Time", "Number of Partitioning Stages", "Number of Exchanges", "Number of Compares"
329, Python2.7, 0.320, 211429, 765087, 2163828
330, Python2.7, 0.319, 211429, 764422, 2163828
331, Python2.7, 0.347, 211429, 765384, 2163828
332, Python2.7, 0.324, 211429, 764498, 2163828
333, Python2.7, 0.325, 211429, 764382, 2163828
334, Python2.7, 0.326, 211429, 764610, 2163828
335, Python2.7, 0.324, 211429, 764390, 2163828
336, Python2.7, 0.358, 211429, 764422, 2163828
337, Python2.7, 0.350, 211429, 764629, 2163828
338, Python2.7, 0.339, 211429, 763820, 2163828
339, Python2.7, 0.326, 211429, 764775, 2163828
340, Python2.7, 0.320, 211429, 764921, 2163828
341, Python2.7, 0.347, 211429, 764674, 2163828
342, Python2.7, 0.319, 211429, 764374, 2163828
343, Python2.7, 0.314, 211429, 765773, 2163828
344, Python2.7, 0.329, 211429, 765098, 2163828
345, Python2.7, 0.317, 211429, 765475, 2163828
346, Python2.7, 0.320, 211429, 764765, 2163828
347, Python2.7, 0.328, 211429, 764758, 2163828
348, Python2.7, 0.326, 211429, 764684, 2163828
349, Python2.7, 0.326, 211429, 765155, 2163828
350, Python2.7, 0.320, 211429, 764903, 2163828
351, Python2.7, 0.368, 211429, 764766, 2163828
352, Python2.7, 0.409, 211429, 764942, 2163828
353, Python2.7, 0.401, 211429, 764924, 2163828
354, Python2.7, 0.409, 211429, 764983, 2163828
355, Python2.7, 0.454, 211429, 764990, 2163828
356, Python2.7, 0.387, 211429, 764702, 2163828
357, Python2.7, 0.357, 211429, 764765, 2163828
358, Python2.7, 0.413, 211429, 764623, 2163828
359, Python2.7, 0.351, 211429, 764543, 2163828
360, Python2.7, 0.327, 211429, 764506, 2163828
361, Python2.7, 0.360, 211429, 765175, 2163828
362, Python2.7, 0.315, 211429, 764998, 2163828
363, Python2.7, 0.344, 211429, 765438, 2163828
364, Python2.7, 0.326, 211429, 765434, 2163828
365, Python2.7, 0.326, 211429, 764907, 2163828
366, Python2.7, 0.332, 211429, 764508, 2163828
367, Python2.7, 0.315, 211429, 764509, 2163828
368, Python2.7, 0.330, 211429, 765070, 2163828
369, Python2.7, 0.333, 211429, 764865, 2163828
370, Python2.7, 0.327, 211429, 764456, 2163828
371, Python2.7, 0.354, 211429, 764206, 2163828
372, Python2.7, 0.346, 211429, 764612, 2163828
373, Python2.7, 0.347, 211429, 764624, 2163828
374, Python2.7, 0.353, 211429, 764198, 2163828
375, Python2.7, 0.344, 211429, 764919, 2163828
376, Python2.7, 0.338, 211429, 764610, 2163828
377, Python2.7, 0.349, 211429, 765451, 2163828
378, Python2.7, 0.342, 211429, 764678, 2163828
379, Python2.7, 0.362, 211429, 764534, 2163828
380, Python2.7, 0.372, 211429, 764771, 2163828
381, Python2.7, 0.314, 211429, 764424, 2163828
382, Python2.7, 0.327, 211429, 764877, 2163828
383, Python2.7, 0.313, 211429, 764872, 2163828
384, Python2.7, 0.322, 211429, 764857, 2163828
385, Python2.7, 0.323, 211429, 765009, 2163828
386, Python2.7, 0.313, 211429, 764597, 2163828
387, Python2.7, 0.331, 211429, 765255, 2163828
388, Python2.7, 0.317, 211429, 765053, 2163828
389, Python2.7, 0.331, 211429, 765488, 2163828
390, Python2.7, 0.346, 211429, 765372, 2163828
391, Python2.7, 0.369, 211429, 765166, 2163828
392, Python2.7, 0.380, 211429, 764788, 2163828
393, Python2.7, 0.324, 211429, 764567, 2163828
394, Python2.7, 0.334, 211429, 765126, 2163828
395, Python2.7, 0.344, 211429, 764965, 2163828
396, Python2.7, 0.341, 211429, 764893, 2163828
397, Python2.7, 0.350, 211429, 764566, 2163828
398, Python2.7, 0.348, 211429, 764942, 2163828
399, Python2.7, 0.346, 211429, 764852, 2163828
400, Python2.7, 0.326, 211429, 764568, 2163828
401, Python2.7, 0.323, 211429, 765131, 2163828
402, Python2.7, 0.356, 211429, 765091, 2163828
403, Python2.7, 0.361, 211429, 764851, 2163828
404, Python2.7, 0.411, 211429, 764839, 2163828
405, Python2.7, 0.359, 211429, 764905, 2163828
406, Python2.7, 0.350, 211429, 765441, 2163828
407, Python2.7, 0.360, 211429, 764141, 2163828
408, Python2.7, 0.366, 211429, 765030, 2163828
409, Python2.7, 0.475, 211429, 764459, 2163828
410, Python2.7, 0.483, 211429, 763523, 2163828
411, Python2.7, 0.329, 211429, 765113, 2163828
412, Python2.7, 0.370, 211429, 764910, 2163828
413, Python2.7, 0.366, 211429, 764593, 2163828
414, Python2.7, 0.368, 211429, 764424, 2163828
415, Python2.7, 0.359, 211429, 764990, 2163828
416, Python2.7, 0.348, 211429, 764645, 2163828
417, Python2.7, 0.324, 211429, 764437, 2163828
418, Python2.7, 0.333, 211429, 765149, 2163828
419, Python2.7, 0.340, 211429, 765337, 2163828
420, Python2.7, 0.384, 211429, 764519, 2163828
421, Python2.7, 0.362, 211429, 764910, 2163828
422, Python2.7, 0.378, 211429, 765079, 2163828
423, Python2.7, 0.321, 211429, 764894, 2163828
424, Python2.7, 0.343, 211429, 764280, 2163828
425, Python2.7, 0.398, 211429, 764625, 2163828
426, Python2.7, 0.356, 211429, 764670, 2163828
427, Python2.7, 0.354, 211429, 764809, 2163828
428, Python2.7, 0.345, 211429, 765107, 2163828
429, Python2.7, 0.343, 211429, 764912, 2163828
430, Python2.7, 0.358, 211429, 764580, 2163828
431, Python2.7, 0.340, 211429, 765133, 2163828
432, Python2.7, 0.342, 211429, 764945, 2163828
433, Python2.7, 0.324, 211429, 765188, 2163828
434, Python2.7, 0.322, 211429, 764706, 2163828
435, Python2.7, 0.372, 211429, 764874, 2163828
436, Python2.7, 0.753, 211429, 764893, 2163828
437, Python2.7, 0.323, 211429, 765536, 2163828
438, Python2.7, 0.521, 211429, 763860, 2163828
439, Python2.7, 0.326, 211429, 764941, 2163828
440, Python2.7, 0.367, 211429, 764593, 2163828
441, Python2.7, 0.360, 211429, 765064, 2163828
442, Python2.7, 0.320, 211429, 764555, 2163828
443, Python2.7, 0.401, 211429, 764384, 2163828
444, Python2.7, 0.361, 211429, 765533, 2163828
445, Python2.7, 0.352, 211429, 764318, 2163828
446, Python2.7, 0.326, 211429, 764401, 2163828
447, Python2.7, 0.350, 211429, 764604, 2163828
448, Python2.7, 0.428, 211429, 764803, 2163828
449, Python2.7, 0.360, 211429, 764689, 2163828
450, Python2.7, 0.370, 211429, 765151, 2163828
451, Python2.7, 0.352, 211429, 764358, 2163828
452, Python2.7, 0.353, 211429, 764559, 2163828
453, Python2.7, 0.388, 211429, 764842, 2163828
454, Python2.7, 0.333, 211429, 764564, 2163828
455, Python2.7, 0.432, 211429, 765703, 2163828
456, Python2.7, 0.360, 211429, 764805, 2163828
457, Python2.7, 0.430, 211429, 763985, 2163828
458, Python2.7, 0.358, 211429, 764730, 2163828
459, Python2.7, 0.324, 211429, 763841, 2163828
460, Python2.7, 0.322, 211429, 765529, 2163828
461, Python2.7, 0.319, 211429, 765908, 2163828
462, Python2.7, 0.336, 211429, 765033, 2163828
463, Python2.7, 0.323, 211429, 765075, 2163828
464, Python2.7, 0.323, 211429, 764491, 2163828
465, Python2.7, 0.325, 211429, 765059, 2163828
466, Python2.7, 0.377, 211429, 765236, 2163828
467, Python2.7, 0.354, 211429, 765136, 2163828
468, Python2.7, 0.353, 211429, 764636, 2163828
469, Python2.7, 0.356, 211429, 764858, 2163828
470, Python2.7, 0.352, 211429, 764613, 2163828
471, Python2.7, 0.326, 211429, 764380, 2163828
472, Python2.7, 0.322, 211429, 765613, 2163828
473, Python2.7, 0.316, 211429, 764907, 2163828
474, Python2.7, 0.324, 211429, 765100, 2163828
475, Python2.7, 0.314, 211429, 764240, 2163828
476, Python2.7, 0.321, 211429, 764775, 2163828
477, Python2.7, 0.326, 211429, 765297, 2163828
478, Python2.7, 0.346, 211429, 765120, 2163828
479, Python2.7, 0.340, 211429, 765152, 2163828
480, Python2.7, 0.346, 211429, 764904, 2163828
481, Python2.7, 0.345, 211429, 765149, 2163828
482, Python2.7, 0.447, 211429, 764903, 2163828
483, Python2.7, 0.361, 211429, 764650, 2163828
484, Python2.7, 0.334, 211429, 765205, 2163828
485, Python2.7, 0.348, 211429, 764239, 2163828
486, Python2.7, 0.406, 211429, 765219, 2163828
487, Python2.7, 0.369, 211429, 765418, 2163828
488, Python2.7, 0.357, 211429, 764835, 2163828
489, Python2.7, 0.384, 211429, 764968, 2163828
490, Python2.7, 0.376, 211429, 764313, 2163828
491, Python2.7, 0.368, 211429, 764339, 2163828
492, Python2.7, 0.394, 211429, 765357, 2163828
493, Python2.7, 0.362, 211429, 764496, 2163828
494, Python2.7, 0.320, 211429, 764348, 2163828
495, Python2.7, 0.347, 211429, 765070, 2163828
496, Python2.7, 0.376, 211429, 765061, 2163828
497, Python2.7, 0.314, 211429, 764732, 2163828
498, Python2.7, 0.318, 211429, 764048, 2163828
499, Python2.7, 0.314, 211429, 764097, 2163828
500, Python2.7, 0.314, 211429, 764584, 2163828
