"Sample Number", "Language", "Time", "Number of Recursive Calls", "Number of Transitions", "Number of Compares"
477, Python2.7, 0.208, 16750, 512628, 2058418
478, Python2.7, 0.201, 16718, 514065, 2058605
479, Python2.7, 0.197, 16794, 514130, 2054906
480, Python2.7, 0.209, 16749, 509066, 2155754
481, Python2.7, 0.196, 16748, 511179, 2090853
482, Python2.7, 0.216, 16717, 516357, 1999364
483, Python2.7, 0.195, 16750, 516282, 2009917
484, Python2.7, 0.197, 16722, 514013, 2088210
485, Python2.7, 0.193, 16846, 515647, 1975681
486, Python2.7, 0.193, 16727, 514469, 2041967
487, Python2.7, 0.195, 16655, 513998, 2023381
488, Python2.7, 0.193, 16692, 514314, 2008994
489, Python2.7, 0.197, 16710, 514628, 2014625
490, Python2.7, 0.218, 16700, 513721, 2042622
491, Python2.7, 0.202, 16674, 509649, 2169413
492, Python2.7, 0.206, 16786, 513442, 2046323
493, Python2.7, 0.216, 16708, 512779, 2106872
494, Python2.7, 0.209, 16713, 511440, 2106165
495, Python2.7, 0.215, 16741, 510162, 2142492
496, Python2.7, 0.194, 16720, 513480, 2099543
497, Python2.7, 0.253, 16746, 513523, 2087523
498, Python2.7, 0.227, 16683, 513517, 2081399
499, Python2.7, 0.196, 16818, 512725, 2065901
500, Python2.7, 0.196, 16660, 512849, 2067316
