Sample Number,listLength,kvalue,quickselect,quicksort,deterministicselect
77,10000,8042,0.044,0.057,0.066
78,10000,7868,0.045,0.065,0.059
79,10000,653,0.043,0.07,0.054
80,10000,2900,0.048,0.058,0.07
81,10000,9785,0.04,0.059,0.06
82,10000,2400,0.042,0.065,0.055
83,10000,8006,0.037,0.057,0.069
84,10000,5833,0.044,0.066,0.055
85,10000,4549,0.037,0.054,0.077
86,10000,3164,0.052,0.059,0.065
87,10000,4316,0.053,0.052,0.057
88,10000,7935,0.039,0.06,0.06
89,10000,9601,0.048,0.058,0.069
90,10000,4596,0.047,0.065,0.057
91,10000,119,0.039,0.061,0.062
92,10000,309,0.04,0.06,0.052
93,10000,1751,0.044,0.057,0.068
94,10000,5025,0.04,0.091,0.096
95,10000,5080,0.044,0.062,0.067
96,10000,6843,0.047,0.053,0.057
97,10000,6040,0.044,0.072,0.057
98,10000,8856,0.039,0.08,0.07
99,10000,2113,0.051,0.055,0.056
100,10000,8427,0.041,0.058,0.061
101,10000,4163,0.047,0.063,0.067
102,10000,4123,0.051,0.076,0.058
103,10000,9524,0.046,0.069,0.065
104,10000,6394,0.048,0.066,0.064
105,10000,1302,0.05,0.059,0.058
106,10000,9003,0.046,0.068,0.07
107,10000,9485,0.042,0.067,0.062
108,10000,8829,0.045,0.074,0.064
109,10000,8616,0.051,0.063,0.066
110,10000,4436,0.05,0.077,0.065
111,10000,6830,0.047,0.075,0.066
112,10000,8747,0.047,0.066,0.074
113,10000,1123,0.047,0.073,0.063
114,10000,9174,0.047,0.072,0.07
115,10000,4174,0.073,0.065,0.059
116,10000,1799,0.042,0.071,0.063
117,10000,1458,0.044,0.067,0.063
118,10000,596,0.049,0.074,0.07
119,10000,2417,0.049,0.067,0.062
120,10000,8474,0.046,0.067,0.059
121,10000,30,0.046,0.076,0.061
122,10000,5279,0.05,0.073,0.066
123,10000,2645,0.047,0.061,0.058
124,10000,4018,0.05,0.071,0.069
125,10000,185,0.046,0.067,0.06
126,10000,1137,0.051,0.072,0.06
127,10000,2786,0.047,0.067,0.065
128,10000,7805,0.048,0.068,0.067
129,10000,6134,0.038,0.067,0.058
130,10000,2809,0.044,0.071,0.058
131,10000,8575,0.047,0.072,0.066
132,10000,7523,0.04,0.066,0.069
133,10000,2446,0.04,0.09,0.116
134,10000,409,0.036,0.065,0.075
135,10000,3733,0.046,0.07,0.066
136,10000,9926,0.058,0.056,0.082
137,10000,3732,0.056,0.076,0.082
138,10000,5633,0.041,0.063,0.068
139,10000,7204,0.058,0.077,0.051
140,10000,7963,0.051,0.066,0.074
141,10000,2883,0.032,0.078,0.075
142,10000,1945,0.052,0.065,0.077
143,10000,5303,0.054,0.077,0.076
144,10000,8806,0.05,0.069,0.066
145,10000,2669,0.051,0.073,0.073
146,10000,80,0.044,0.06,0.065
147,10000,6441,0.049,0.069,0.073
148,10000,2599,0.053,0.067,0.073
149,10000,7778,0.043,0.081,0.074
150,10000,3880,0.055,0.071,0.065
151,10000,2436,0.051,0.072,0.079
152,10000,5366,0.047,0.08,0.09
153,10000,1682,0.046,0.078,0.076
154,10000,8318,0.052,0.072,0.076
155,10000,9181,0.053,0.066,0.095
156,10000,9743,0.06,0.076,0.076
157,10000,3699,0.048,0.068,0.068
158,10000,4122,0.047,0.073,0.073
159,10000,8337,0.048,0.074,0.058
160,10000,814,0.046,0.071,0.082
161,10000,7873,0.054,0.065,0.068
162,10000,7003,0.048,0.069,0.065
163,10000,1757,0.056,0.067,0.069
164,10000,9193,0.042,0.062,0.065
165,10000,1193,0.046,0.056,0.072
166,10000,1423,0.042,0.078,0.062
167,10000,4160,0.051,0.072,0.066
168,10000,6320,0.051,0.067,0.065
169,10000,164,0.042,0.067,0.06
170,10000,5237,0.058,0.105,0.067
171,10000,8066,0.053,0.058,0.064
172,10000,709,0.04,0.06,0.064
173,10000,5236,0.034,0.051,0.071
174,10000,1284,0.03,0.05,0.055
175,10000,8657,0.031,0.046,0.046
176,10000,299,0.028,0.048,0.045
177,10000,6735,0.034,0.048,0.044
178,10000,2263,0.031,0.047,0.046
179,10000,9824,0.034,0.05,0.049
180,10000,1169,0.033,0.053,0.049
181,10000,1806,0.029,0.048,0.047
182,10000,8831,0.029,0.048,0.048
183,10000,734,0.035,0.065,0.061
184,10000,523,0.038,0.054,0.054
185,10000,8596,0.033,0.049,0.049
186,10000,1686,0.036,0.054,0.047
187,10000,8038,0.034,0.049,0.048
188,10000,8244,0.063,0.122,0.071
189,10000,6303,0.069,0.069,0.061
190,10000,2069,0.043,0.059,0.058
191,10000,8140,0.043,0.06,0.055
192,10000,9814,0.038,0.052,0.053
193,10000,8833,0.045,0.067,0.064
194,10000,4821,0.057,0.057,0.066
195,10000,2307,0.057,0.065,0.049
196,10000,2133,0.033,0.05,0.049
197,10000,7467,0.034,0.057,0.049
198,10000,6565,0.034,0.055,0.054
199,10000,6302,0.048,0.094,0.075
200,10000,8894,0.094,0.113,0.098
1,100000,17982,0.185,0.433,0.373
2,100000,23952,0.146,0.416,0.454
3,100000,14093,0.153,0.518,0.372
4,100000,21043,0.215,0.446,0.396
5,100000,10369,0.224,0.481,0.42
6,100000,20508,0.182,0.501,0.402
7,100000,11588,0.169,0.505,0.382
8,100000,13892,0.166,0.462,0.374
9,100000,30625,0.149,0.44,0.375
10,100000,10883,0.114,0.453,0.348
11,100000,5066,0.153,0.448,0.346
12,100000,27500,0.152,0.472,0.383
13,100000,4908,0.211,0.439,0.344
14,100000,1201,0.158,0.44,0.318
15,100000,23014,0.164,0.447,0.329
16,100000,20369,0.161,0.448,0.348
17,100000,21500,0.146,0.427,0.341
18,100000,32450,0.171,0.424,0.347
19,100000,23257,0.159,0.442,0.341
20,100000,8409,0.16,0.42,0.338
21,100000,13380,0.134,0.439,0.358
22,100000,30232,0.205,0.457,0.372
23,100000,716,0.184,0.444,0.39
24,100000,7725,0.161,0.404,0.334
25,100000,27740,0.189,0.397,0.341
26,100000,28735,0.151,0.374,0.298
27,100000,22136,0.153,0.377,0.302
28,100000,13166,0.149,0.366,0.299
29,100000,4172,0.132,0.386,0.295
30,100000,22402,0.146,0.381,0.293
31,100000,18839,0.12,0.372,0.293
32,100000,11642,0.12,0.353,0.296
33,100000,31258,0.16,0.363,0.29
34,100000,25930,0.168,0.366,0.298
35,100000,4110,0.119,0.363,0.3
36,100000,12765,0.136,0.386,0.351
37,100000,3284,0.105,0.435,0.355
38,100000,22073,0.173,0.6,0.414
39,100000,21975,0.143,0.462,0.369
40,100000,30295,0.182,0.466,0.381
41,100000,7260,0.214,0.505,0.359
42,100000,17418,0.193,0.531,0.366
43,100000,2480,0.153,0.471,0.369
44,100000,29714,0.221,0.453,0.375
45,100000,1526,0.137,0.455,0.379
46,100000,16679,0.161,0.539,0.375
